t,q_FL_abad,q_FL_thigh,q_FL_calf,q_FR_abad,q_FR_thigh,q_FR_calf,q_RL_abad,q_RL_thigh,q_RL_calf,q_RR_abad,q_RR_thigh,q_RR_calf,tau_FL_abad,tau_FL_thigh,tau_FL_calf,tau_FR_abad,tau_FR_thigh,tau_FR_calf,tau_RL_abad,tau_RL_thigh,tau_RL_calf,tau_RR_abad,tau_RR_thigh,tau_RR_calf,base_z
0.0000,-0.41895,-0.06628,-0.67736,0.57894,-0.05400,-0.96405,-0.51663,0.37966,-1.26334,0.44119,0.34113,-0.85956,0.381,-0.368,-0.272,-0.137,-0.390,-0.313,0.274,0.103,-0.295,-0.349,0.183,-0.197,0.8500
0.0050,-0.41903,-0.06624,-0.67716,0.57895,-0.05396,-0.96380,-0.51668,0.37953,-1.26297,0.44125,0.34100,-0.85926,0.065,-0.035,-0.130,-0.011,-0.040,-0.170,0.041,0.086,-0.250,-0.056,0.088,-0.189,0.8500
0.0100,-0.41923,-0.06609,-0.67691,0.57900,-0.05378,-0.96347,-0.51682,0.37939,-1.26254,0.44143,0.34083,-0.85895,0.132,-0.105,-0.157,-0.030,-0.123,-0.201,0.097,0.087,-0.261,-0.121,0.106,-0.186,0.8500
0.0150,-0.41951,-0.06584,-0.67662,0.57907,-0.05349,-0.96311,-0.51704,0.37924,-1.26210,0.44170,0.34063,-0.85865,0.183,-0.159,-0.178,-0.046,-0.185,-0.224,0.138,0.087,-0.264,-0.169,0.119,-0.183,0.8500
0.0200,-0.41987,-0.06552,-0.67630,0.57916,-0.05312,-0.96271,-0.51731,0.37910,-1.26165,0.44203,0.34042,-0.85834,0.222,-0.201,-0.195,-0.059,-0.231,-0.241,0.167,0.087,-0.267,-0.205,0.129,-0.181,0.8500
0.0250,-0.42028,-0.06514,-0.67596,0.57928,-0.05269,-0.96229,-0.51761,0.37895,-1.26120,0.44241,0.34019,-0.85804,0.251,-0.233,-0.207,-0.070,-0.264,-0.254,0.187,0.086,-0.269,-0.232,0.137,-0.180,0.8500
0.0300,-0.42073,-0.06472,-0.67560,0.57940,-0.05222,-0.96185,-0.51794,0.37881,-1.26076,0.44282,0.33996,-0.85774,0.274,-0.258,-0.217,-0.078,-0.289,-0.263,0.201,0.086,-0.270,-0.253,0.142,-0.179,0.8500
0.0350,-0.42121,-0.06427,-0.67523,0.57954,-0.05171,-0.96141,-0.51829,0.37867,-1.26030,0.44327,0.33972,-0.85745,0.291,-0.276,-0.224,-0.084,-0.308,-0.270,0.211,0.086,-0.271,-0.268,0.147,-0.178,0.8500
0.0400,-0.42171,-0.06379,-0.67485,0.57969,-0.05118,-0.96095,-0.51865,0.37852,-1.25985,0.44373,0.33947,-0.85715,0.304,-0.291,-0.230,-0.089,-0.321,-0.275,0.218,0.086,-0.271,-0.279,0.150,-0.177,0.8500
0.0450,-0.42223,-0.06329,-0.67446,0.57984,-0.05063,-0.96049,-0.51902,0.37838,-1.25940,0.44420,0.33921,-0.85686,0.313,-0.302,-0.234,-0.093,-0.331,-0.279,0.223,0.086,-0.271,-0.287,0.152,-0.177,0.8500
