t,phase,age_ms,grav_z,base_z,q_FL_abad,q_FL_thigh,q_FL_calf,q_FR_abad,q_FR_thigh,q_FR_calf,q_RL_abad,q_RL_thigh,q_RL_calf,q_RR_abad,q_RR_thigh,q_RR_calf,dq_FL_abad,dq_FL_thigh,dq_FL_calf,dq_FR_abad,dq_FR_thigh,dq_FR_calf,dq_RL_abad,dq_RL_thigh,dq_RL_calf,dq_RR_abad,dq_RR_thigh,dq_RR_calf,qdes_FL_abad,qdes_FL_thigh,qdes_FL_calf,qdes_FR_abad,qdes_FR_thigh,qdes_FR_calf,qdes_RL_abad,qdes_RL_thigh,qdes_RL_calf,qdes_RR_abad,qdes_RR_thigh,qdes_RR_calf,tau_FL_abad,tau_FL_thigh,tau_FL_calf,tau_FR_abad,tau_FR_thigh,tau_FR_calf,tau_RL_abad,tau_RL_thigh,tau_RL_calf,tau_RR_abad,tau_RR_thigh,tau_RR_calf,kp,kd
0.0000,settle,0.4,-0.9998,nan,-0.40751,-0.08543,-0.68667,0.57590,-0.07954,-0.97451,-0.50377,0.38889,-1.27332,0.42799,0.34455,-0.86607,-0.0586,0.0977,0.0195,-0.0195,-0.0586,-0.0195,-0.0977,-0.0195,0.0586,-0.0195,-0.0195,-0.0977,-0.40751,-0.08543,-0.68667,0.57590,-0.07954,-0.97451,-0.50377,0.38889,-1.27332,0.42799,0.34455,-0.86607,0.110,0.037,0.110,0.037,-0.037,-0.037,-0.110,0.037,0.110,-0.110,-0.110,-0.037,0.00,3.000
0.0050,settle,0.6,-0.9998,nan,-0.40740,-0.08543,-0.68670,0.57590,-0.07954,-0.97448,-0.50370,0.38878,-1.27327,0.42799,0.34458,-0.86607,0.0195,0.0586,0.0195,0.0195,-0.0586,-0.0586,-0.0977,0.0586,0.0195,-0.0195,-0.0195,-0.0195,-0.40740,-0.08543,-0.68670,0.57590,-0.07954,-0.97448,-0.50370,0.38878,-1.27327,0.42799,0.34458,-0.86607,0.183,0.037,0.037,0.183,-0.037,-0.110,-0.110,0.110,0.037,-0.037,-0.110,-0.110,0.00,3.000
0.0100,settle,0.5,-0.9998,nan,-0.40740,-0.08543,-0.68670,0.57590,-0.07954,-0.97448,-0.50377,0.38878,-1.27332,0.42799,0.34455,-0.86607,-0.0195,-0.0586,0.0195,0.0195,0.0195,-0.0586,-0.0195,-0.1368,0.1368,-0.0195,0.0586,-0.0586,-0.40740,-0.08543,-0.68670,0.57590,-0.07954,-0.97448,-0.50377,0.38878,-1.27332,0.42799,0.34455,-0.86607,0.037,0.037,0.110,0.110,-0.037,-0.110,-0.110,0.110,0.110,-0.110,-0.110,0.037,0.00,3.000
0.0150,settle,0.5,-0.9998,nan,-0.40740,-0.08532,-0.68661,0.57593,-0.07962,-0.97448,-0.50384,0.38878,-1.27327,0.42799,0.34451,-0.86607,0.0977,0.0195,0.0195,0.1368,-0.0195,-0.0195,-0.0977,0.0195,0.0586,0.0586,-0.0195,-0.0195,-0.40740,-0.08532,-0.68661,0.57593,-0.07962,-0.97448,-0.50384,0.38878,-1.27327,0.42799,0.34451,-0.86607,0.037,0.037,0.110,0.037,-0.110,-0.110,-0.256,0.110,0.037,-0.110,0.037,-0.330,0.00,3.000
0.0200,settle,0.5,-0.9998,nan,-0.40748,-0.08535,-0.68661,0.57593,-0.07962,-0.97448,-0.50384,0.38893,-1.27327,0.42791,0.34455,-0.86607,0.0586,0.0195,0.0195,-0.0195,0.0195,0.0195,-0.0195,0.0586,0.0586,-0.0977,-0.0195,-0.0586,-0.40748,-0.08535,-0.68661,0.57593,-0.07962,-0.97448,-0.50384,0.38893,-1.27327,0.42791,0.34455,-0.86607,0.110,0.037,0.110,0.110,-0.037,-0.110,-0.110,0.110,0.110,-0.256,-0.183,-0.037,0.00,3.000
0.0250,settle,0.5,-0.9998,nan,-0.40740,-0.08535,-0.68661,0.57593,-0.07962,-0.97448,-0.50384,0.38893,-1.27332,0.42788,0.34455,-0.86607,0.0195,0.0195,0.0195,0.1368,0.0195,0.0977,0.0586,0.0586,0.0195,0.0977,-0.0586,-0.0586,-0.40740,-0.08535,-0.68661,0.57593,-0.07962,-0.97448,-0.50384,0.38893,-1.27332,0.42788,0.34455,-0.86607,0.110,0.110,0.110,0.110,-0.110,-0.110,-0.037,0.110,0.110,-0.110,-0.037,-0.037,0.00,3.000
0.0300,settle,0.6,-0.9998,nan,-0.40740,-0.08532,-0.68656,0.57593,-0.07969,-0.97451,-0.50377,0.38889,-1.27327,0.42788,0.34447,-0.86607,0.0195,0.1758,0.0977,-0.0586,0.0195,-0.0195,-0.0977,-0.0977,0.0195,-0.0195,-0.0195,-0.0195,-0.40740,-0.08532,-0.68656,0.57593,-0.07969,-0.97451,-0.50377,0.38889,-1.27327,0.42788,0.34447,-0.86607,0.037,0.037,0.183,0.110,-0.183,-0.183,-0.037,0.110,0.110,-0.183,-0.037,-0.256,0.00,3.000
0.0350,settle,0.4,-0.9998,nan,-0.40740,-0.08532,-0.68670,0.57593,-0.07973,-0.97448,-0.50377,0.38878,-1.27327,0.42791,0.34447,-0.86607,0.0195,0.0195,0.0195,-0.1368,0.0586,-0.0586,-0.0195,-0.0977,0.0195,-0.0586,0.0586,-0.0195,-0.40740,-0.08532,-0.68670,0.57593,-0.07973,-0.97448,-0.50377,0.38878,-1.27327,0.42791,0.34447,-0.86607,0.037,0.110,0.183,0.183,-0.183,-0.037,-0.037,0.256,0.110,-0.183,-0.110,-0.037,0.00,3.000
0.0400,settle,0.4,-0.9998,nan,-0.40740,-0.08532,-0.68670,0.57593,-0.07965,-0.97457,-0.50384,0.38889,-1.27318,0.42788,0.34455,-0.86607,0.0195,0.0195,0.0195,-0.0977,-0.0195,0.0586,-0.0195,0.0586,0.0586,-0.0586,0.0586,0.0195,-0.40740,-0.08532,-0.68670,0.57593,-0.07965,-0.97457,-0.50384,0.38889,-1.27318,0.42788,0.34455,-0.86607,0.183,0.037,0.183,0.037,-0.183,-0.110,-0.110,0.183,0.110,-0.110,-0.110,-0.037,0.00,3.000
0.0450,settle,0.4,-0.9998,nan,-0.40740,-0.08532,-0.68670,0.57604,-0.07969,-0.97445,-0.50384,0.38889,-1.27327,0.42788,0.34447,-0.86607,0.0195,-0.0977,0.0195,0.1758,-0.0586,-0.0195,-0.0195,0.0195,0.0195,-0.0195,-0.0977,-0.0195,-0.40740,-0.08532,-0.68670,0.57604,-0.07969,-0.97445,-0.50384,0.38889,-1.27327,0.42788,0.34447,-0.86607,0.110,0.110,0.110,0.110,-0.110,-0.110,-0.256,0.183,0.110,-0.110,-0.110,-0.256,0.00,3.000
